site,y.1,y.2,y.3,year,c.year,SITE,POINT,WMA,allgrss100,trees100,jdate.1,jdate.2,jdate.3,obs.1,obs.2,obs.3,minutes.1,minutes.2,minutes.3,cloud.1,cloud.2,cloud.3,wind.1,wind.2,wind.3,temp.1,temp.2,temp.3
ALEX.1,0,0,0,1,2010,ALEX.1,1,ALEX,0.494605,0.116275,10127,10147,10165,GDG,GDG,JDW,573,384,505,70,30,100,10.9,0.7,2.5,9.2,19,22.1
ALEX.2,0,0,0,1,2010,ALEX.2,2,ALEX,0.503613,0.125983,10127,10147,10165,GDG,GDG,JDW,444,550,467,100,10,90,1.9,0,1.6,9.9,25.8,21
ALEX.3,0,0,0,1,2010,ALEX.3,3,ALEX,0.496196,0.138269,10127,10147,10165,GDG,GDG,JDW,429,565,483,100,2,100,11,1.6,0,9.6,27.5,22
ALEX.4,0,0,0,1,2010,ALEX.4,4,ALEX,0.488748,0.111691,10127,10147,10165,GDG,GDG,JDW,531,436,405,80,5,100,13.8,2.6,3.2,10.3,19.6,20.7
ALEX.5,0,0,0,1,2010,ALEX.5,5,ALEX,0.490944,0.104179,10127,10147,10165,GDG,GDG,JDW,516,460,386,100,10,100,13.3,3.9,1.7,9.3,20.9,22.1
ALEX.6,0,0,0,1,2010,ALEX.6,6,ALEX,0.495783,0.104657,10127,10147,10165,GDG,GDG,JDW,481,508,426,100,10,75,9,3.4,2.8,9.4,23.8,20.3
ALEX.7,0,0,0,1,2010,ALEX.7,7,ALEX,0.509979,0.113155,10127,10147,10165,GDG,GDG,JDW,550,415,523,80,15,100,14.9,1.3,1.1,9.2,18.1,22.8
ALEX.8,0,0,0,1,2010,ALEX.8,8,ALEX,0.518987,0.131426,10127,10147,10165,GDG,GDG,JDW,461,529,450,100,10,75,8,4,0.7,10,25.1,21.3
ALEX.9,0,0,0,1,2010,ALEX.9,9,ALEX,0.480918,0.100105,10127,10147,10165,GDG,GDG,JDW,501,486,374,100,10,100,13.5,5.5,0.9,9.2,21.5,21.5
BLUE.1,0,0,0,1,2010,BLUE.1,1,BLUE,0.391126,0.117643,10135,10147,10179,JDW,JDW,JDW,387,500,513,0,0,35,0,0.8,3,9.7,22,24
BLUE.2,0,0,0,1,2010,BLUE.2,2,BLUE,0.401025,0.12611,10135,10147,10179,JDW,JDW,JDW,437,448,476,30,0,30,1.4,3.8,2.2,8.2,19.1,22.6
BLUE.3,0,0,0,1,2010,BLUE.3,3,BLUE,0.389853,0.132953,10135,10147,10179,CFJ,CFJ,CFJ,439,448,483,40,5,5,0,1.4,0,13.4,21.5,24.7
BLUE.4,0,0,0,1,2010,BLUE.4,4,BLUE,0.418563,0.115956,10135,10147,10179,CFJ,JDW,JDW,489,475,455,30,0,15,0,2.6,1,14.9,21.6,21.3
BLUE.5,0,0,0,1,2010,BLUE.5,5,BLUE,0.396696,0.13219,10135,10147,10179,JDW,JDW,JDW,422,435,488,50,0,35,0,0,0.9,10,19.8,25.6
BLUE.6,0,0,0,1,2010,BLUE.6,6,BLUE,0.385778,0.126333,10135,10147,10179,JDW,CFJ,CFJ,375,506,521,0,3,10,1.8,1.5,3.8,10.4,25.5,26.4
BLUE.7,0,0,0,1,2010,BLUE.7,7,BLUE,0.388675,0.131457,10135,10147,10179,CFJ,CFJ,CFJ,420,433,474,40,5,5,0,1.7,0,11.4,22.1,22.4
BLUE.8,0,0,0,1,2010,BLUE.8,8,BLUE,0.363084,0.127192,10135,10147,10179,JDW,JDW,CFJ,400,489,507,2,0,10,1,2.1,0,9,22.1,27
BLUE.9,0,0,0,1,2010,BLUE.9,9,BLUE,0.432473,0.117261,10135,10147,10179,JDW,CFJ,CFJ,461,475,459,20,5,5,1.8,2.5,0,10.7,23,20.9
CEDV.1,0,0,0,1,2010,CEDV.1,1,CEDV,0.823853,0.0732406,10120,10141,10187,GDG,GDG,JDW,512,476,436,2,15,0,4.8,2.6,1.8,9,12.4,19.9
CEDV.2,0,0,0,1,2010,CEDV.2,2,CEDV,0.829933,0.0769965,10120,10141,10187,GDG,JDW,CFJ,572,451,481,0,10,0,3.2,0,2.4,10.6,12,22
CEDV.3,0,0,0,1,2010,CEDV.3,3,CEDV,0.833848,0.0804978,10120,10141,10187,GDG,JDW,GDG,450,486,485,5,0,0,5.6,0,1.3,4.6,11.8,21.9
CEDV.4,0,0,0,1,2010,CEDV.4,4,CEDV,0.815482,0.0713626,10120,10141,10187,GDG,GDG,JDW,539,445,482,0,10,0,2.5,0,0,9.7,11.2,21.5
